Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Main.brd" as of: 22.01.2025 17:30
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,-1.555,0.502,0
C2,Top,-1.555,0.010,0
C3,Top,-1.299,-0.187,90
C4,Top,-1.555,-0.049,0
C5,Top,-1.043,-0.187,90
C6,Top,-0.846,-0.187,90
C7,Top,-0.630,-0.187,90
C8,Top,-1.555,0.443,0
C9,Top,-0.453,0.285,180
C10,Top,-1.555,0.069,0
C11,Top,-0.453,0.482,180
C12,Top,-0.906,0.915,270
C13,Top,-1.083,0.915,270
C14,Top,-1.378,0.915,270
C15,Top,-1.555,0.561,0
C16,Top,-1.260,0.915,270
C17,Top,-0.689,-0.187,90
C18,Top,-0.453,0.719,180
C19,Top,2.421,-0.600,270
C20,Top,2.303,-0.600,270
C21,Top,-0.453,-0.128,180
C22,Top,2.362,-0.384,270
C23,Top,-0.453,-0.069,180
C24,Top,-2.638,0.364,180
C25,Top,-2.638,0.719,180
C26,Top,-2.638,0.522,180
C27,Top,-1.890,0.620,0
C28,Top,-1.890,0.423,0
C29,Top,-2.638,-0.049,180
C30,Top,-2.638,0.778,180
C31,Top,2.992,1.486,270
C32,Top,3.051,1.486,270
C33,Top,-1.496,1.407,180
C34,Top,-1.496,1.467,180
C35,Top,0.217,1.201,90
C36,Top,-0.610,1.388,270
C37,Top,-0.551,1.388,270
C38,Top,-0.217,1.201,90
C39,Top,-0.886,1.388,270
C40,Top,-0.945,1.388,270
C41,Top,-1.496,1.191,0
C42,Top,-1.496,1.250,0
C43,Top,-1.220,1.388,270
C44,Top,-1.280,1.388,270
C45,Top,-2.264,-0.354,90
C46,Top,1.043,-0.600,270
C47,Top,0.984,-0.600,270
CP1,Top,0.138,1.240,90
CP2,Top,-0.138,1.240,90
D1,Top,2.598,-0.384,180
D2,Top,0.827,-0.600,270
FB01,Top,-1.496,1.348,0
FB02,Top,-1.496,1.132,0
FB03,Top,3.287,1.486,270
IC1,Top,-1.004,0.364,0
IC2,Top,2.598,-0.600,180
IC3,Top,-2.264,0.364,0
IC4,Top,-1.850,1.348,90
IC5,Top,-0.748,1.388,90
IC6,Top,-1.083,1.388,90
IC7,Top,0.000,1.240,270
IC8,Top,0.000,-0.571,0
J1,Top,0.177,0.394,90
J2,Bottom,3.091,1.654,180
J3,Top,-3.091,1.772,270
J4,Bottom,1.161,-1.309,90
J5,Top,-2.870,-1.772,90
J6,Top,-3.402,-1.772,90
J7,Top,1.575,1.693,180
J8,Top,2.870,-1.772,90
J9,Top,3.402,-1.772,90
L1,Bottom,3.091,-0.472,90
LED1,Bottom,0.098,-1.713,270
LED2,Bottom,0.000,-1.713,270
LED3,Bottom,-0.098,-1.713,270
R1,Top,-1.555,-0.108,0
R2,Top,-1.319,0.915,270
R3,Top,-1.201,0.915,270
R4,Top,-1.555,-0.167,0
R5,Top,-0.453,0.108,180
R6,Top,-0.453,0.167,180
R7,Top,-0.453,0.226,180
R8,Top,2.362,-0.600,270
R9,Top,-1.024,0.915,270
R10,Top,2.303,-0.384,270
R11,Top,2.421,-0.384,270
R12,Top,2.933,1.486,270
R13,Top,3.228,1.486,270
R14,Top,3.110,1.486,270
R15,Top,-2.323,-0.354,90
R16,Top,2.874,1.486,270
R17,Top,3.169,1.486,270
R18,Top,-2.224,1.348,0
R19,Top,-2.224,1.407,0
R20,Top,-2.224,1.250,180
R21,Top,-2.224,1.191,180
R22,Top,-2.224,1.467,180
R23,Top,-2.205,-0.354,270
R24,Top,1.398,-0.600,270
R25,Top,1.339,-0.600,270
R26,Top,1.280,-0.600,270
R27,Top,1.220,-0.600,270
R28,Top,1.161,-0.600,270
R29,Top,1.102,-0.600,270
S1,Bottom,2.087,-1.319,0
S2,Bottom,-3.091,-0.472,0
USB1,Top,0.000,1.890,180
Y1,Top,-1.594,0.256,270
